id,5BZCATName,SourceClassification,R.A.(J2000),Dec.(J2000),Redshift
2706,5BZBJ1642-8108,BLLac,250.73896,-81.14308,
2707,5BZQJ1642+3948,QSORLoudflatradiosp.,250.74504,39.81028,0.593
2708,5BZBJ1643+3221,BLLac,250.75442,32.35111,
2709,5BZGJ1643+2131,BLLac-galaxydominated,250.83033,21.51833,0.154
2710,5BZGJ1643-0646,BLLac-galaxydominated,250.8705,-6.77214,0.082
2711,5BZGJ1644+4546,BLLac-galaxydominated,251.08321,45.779,0.225
2712,5BZQJ1644-1804,QSORLoudflatradiosp.,251.14896,-18.07569,1.007
2713,5BZQJ1644+2619,QSORLoudflatradiosp.,251.17725,26.32033,0.144
2714,5BZQJ1645+6330,QSORLoudflatradiosp.,251.49396,63.50303,2.379
2715,5BZQJ1646+4059,QSORLoudflatradiosp.,251.73692,40.98811,0.835
2716,5BZGJ1647+2909,BLLac-galaxydominated,251.862,29.16381,0.132
2717,5BZUJ1647+4950,BlazarUncertaintype,251.89546,49.8335,0.047
2718,5BZQJ1648+4104,QSORLoudflatradiosp.,252.12192,41.06822,0.852
2719,5BZBJ1649+5235,BLLac,252.35412,52.5875,
2720,5BZQJ1650+4140,QSORLoudflatradiosp.,252.52283,41.67567,0.585
2721,5BZUJ1650-5044,BlazarUncertaintype,252.56929,-50.74672,
2722,5BZQJ1650+0824,QSORLoudflatradiosp.,252.6565,8.4145,1.965
2723,5BZBJ1651+0129,BLLac,252.76525,1.48986,
2724,5BZBJ1651+4212,BLLac,252.78833,42.21483,0.269
2725,5BZQJ1651+4002,QSORLoudflatradiosp.,252.90637,40.03861,2.343
2726,5BZBJ1651+7218,BLLacCandidate,252.9165,72.30692,
2727,5BZQJ1652+6232,QSORLoudflatradiosp.,253.00633,62.53586,1.633
2728,5BZUJ1652+4932,BlazarUncertaintype,253.088,49.54806,
2729,5BZBJ1652+3632,BLLac,253.20188,36.53683,0.648
2730,5BZBJ1652+4023,BLLac,253.20804,40.38608,
2731,5BZQJ1652+3902,QSORLoudflatradiosp.,253.24379,39.04717,1.299
2732,5BZQJ1653+3107,QSORLoudflatradiosp.,253.37462,31.13247,1.298
2733,5BZBJ1653+3945,BLLac,253.46758,39.76017,0.033
2734,5BZBJ1655+3244,BLLac,253.92842,32.73894,
2735,5BZBJ1655+3723,BLLac,253.96762,37.38942,
2736,5BZQJ1656-3302,QSORLoudflatradiosp.,254.07021,-33.03642,2.4
2737,5BZQJ1656+1826,QSORLoudflatradiosp.,254.14204,18.44067,2.551
2738,5BZQJ1656+5321,QSORLoudflatradiosp.,254.16508,53.36356,1.553
2739,5BZQJ1656+6012,QSORLoudflatradiosp.,254.20104,60.20456,0.623
2740,5BZUJ1656-0206,BlazarUncertaintype,254.23383,-2.11375,2
2741,5BZQJ1657+5705,QSORLoudflatradiosp.,254.33629,57.09819,1.281
2742,5BZUJ1657+4808,BlazarUncertaintype,254.44533,48.14253,1.669
2743,5BZBJ1657+6436,BLLac,254.49571,64.61156,0.449
2744,5BZQJ1658+3443,QSORLoudflatradiosp.,254.50592,34.72456,1.939
2745,5BZQJ1658+3605,QSORLoudflatradiosp.,254.51092,36.08447,2.116
2746,5BZQJ1658+4737,QSORLoudflatradiosp.,254.51158,47.63033,1.61
2747,5BZBJ1658+6150,BLLac,254.53475,61.83389,0.374
2748,5BZQJ1658+0741,QSORLoudflatradiosp.,254.53754,7.69097,0.621
2749,5BZQJ1658+0515,QSORLoudflatradiosp.,254.63938,5.25456,0.879
2750,5BZQJ1658-0739,QSORLoudflatradiosp.,254.68358,-7.65492,3.742
2751,5BZQJ1659+3735,QSORLoudflatradiosp.,254.88304,37.59139,0.771
2752,5BZQJ1659+0213,QSORLoudflatradiosp.,254.9375,2.21861,2.039
2753,5BZQJ1700+6830,QSORLoudflatradiosp.,255.03871,68.50194,0.301
2754,5BZBJ1701+3954a,BLLac,255.28704,39.91169,
2755,5BZQJ1701+3533,QSORLoudflatradiosp.,255.30158,35.56486,0.501
2756,5BZBJ1701+3954b,BLLac,255.35262,39.91031,0.507
2757,5BZBJ1702+2643,BLLacCandidate,255.54017,26.72075,
2758,5BZQJ1702+3157,QSORLoudflatradiosp.,255.63596,31.9645,1.95
2759,5BZBJ1702+3115,BLLac,255.66062,31.26208,
2760,5BZQJ1703-6212,QSORLoudflatradiosp.,255.90225,-62.21111,1.747
2761,5BZQJ1704+0134,QSORLoudflatradiosp.,256.03121,1.569,2.842
2762,5BZBJ1704+7138,BLLac,256.19575,71.63822,
2763,5BZBJ1705+6042,BLLac,256.39508,60.70439,0.28
2764,5BZUJ1706+3214,BlazarUncertaintype,256.70025,32.23964,1.07
2765,5BZQJ1707+4536,QSORLoudflatradiosp.,256.824,45.60292,0.645
2766,5BZQJ1707+1122,QSORLoudflatradiosp.,256.88529,11.36686,2.406
2767,5BZQJ1707+0148,QSORLoudflatradiosp.,256.89342,1.81269,2.565
2768,5BZQJ1707+1331,QSORLoudflatradiosp.,256.94017,13.51811,0.936
2769,5BZQJ1708+0035,QSORLoudflatradiosp.,257.18604,0.58597,0.449
2770,5BZQJ1709+4318,QSORLoudflatradiosp.,257.42121,43.31236,1.027
2771,5BZQJ1710-0355,QSORLoudflatradiosp.,257.57171,-3.93058,1.923
2772,5BZBJ1712+2931,BLLac,258.20296,29.52153,0.421
2773,5BZQJ1713+4916,QSORLoudflatradiosp.,258.39646,49.27569,1.552
2774,5BZBJ1714+5601,BLLac,258.61421,56.03222,0.401
2775,5BZBJ1714+3036,BLLac,258.68975,30.60778,
2776,5BZBJ1715+2929,BLLac,258.75567,29.48675,
2777,5BZQJ1715+3619,QSORLoudflatradiosp.,258.78487,36.33058,0.555
2778,5BZGJ1715+5724,BLLac-galaxydominated,258.84579,57.41119,0.027
2779,5BZQJ1715+6323,QSORLoudflatradiosp.,258.89983,63.39336,2.182
2780,5BZQJ1716+2152,QSORLoudflatradiosp.,259.04662,21.87047,0.358
2781,5BZQJ1716+6836,QSORLoudflatradiosp.,259.05808,68.61075,0.777
2782,5BZQJ1716-0452,QSORLoudflatradiosp.,259.11037,-4.86997,1.026
2783,5BZGJ1717+2931,BLLac-galaxydominated,259.27871,29.52253,0.276
2784,5BZQJ1717+2621,QSORLoudflatradiosp.,259.31321,26.36358,1.934
2785,5BZGJ1717+4227,BLLac-galaxydominated,259.33008,42.45,0.183
2786,5BZQJ1717-5155,QSORLoudflatradiosp.,259.39438,-51.92556,1.158
2787,5BZBJ1717-3342,BLLacCandidate,259.40012,-33.70244,
2788,5BZGJ1718+4228,BLLac-galaxydominated,259.56333,42.472,0.18
2789,5BZBJ1719+5524,BLLac,259.75975,55.40178,0.626
2790,5BZBJ1719+1745,BLLac,259.80438,17.75178,
2791,5BZGJ1719+4858,BLLac-galaxydominated,259.81025,48.98042,0.024
2792,5BZQJ1719+4804,QSORLoudflatradiosp.,259.90917,48.07,1.084
2793,5BZBJ1719+7443,BLLacCandidate,259.92083,74.71667,
2794,5BZQJ1719+0817,QSORLoudflatradiosp.,259.96754,8.28433,1.185
2795,5BZQJ1721+3542,QSORLoudflatradiosp.,260.28954,35.70447,0.283
2796,5BZBJ1721+6004,BLLac,260.31913,60.06844,0.531
2797,5BZQJ1722+5856,QSORLoudflatradiosp.,260.65304,58.93953,1.979
2798,5BZQJ1722+6105,QSORLoudflatradiosp.,260.66692,61.09992,2.058
2799,5BZQJ1722+2815,QSORLoudflatradiosp.,260.67567,28.25003,0.945
2800,5BZQJ1722+1013,QSORLoudflatradiosp.,260.68575,10.22661,0.732
2801,5BZQJ1722+5611,QSORLoudflatradiosp.,260.74171,56.18953,2.269
2802,5BZQJ1723+6547,QSORLoudflatradiosp.,260.80892,65.79614,1.442
2803,5BZQJ1724+4004,QSORLoudflatradiosp.,261.02262,40.07681,1.049
2804,5BZQJ1724+3303,QSORLoudflatradiosp.,261.05917,33.05108,0.548
2805,5BZBJ1725+1152,BLLac,261.26817,11.87089,
2806,5BZBJ1725+5851,BLLac,261.39587,58.86106,
2807,5BZQJ1726+3213,QSORLoudflatradiosp.,261.64633,32.22306,1.09
2808,5BZBJ1726+5955,BLLac,261.66837,59.93036,
2809,5BZGJ1727+5510,BLLac-galaxydominated,261.84779,55.18153,0.247
2810,5BZQJ1727+4530,QSORLoudflatradiosp.,261.86521,45.51103,0.717
2811,5BZQJ1728+1215,QSORLoudflatradiosp.,262.02938,12.26097,0.583
2812,5BZBJ1728+5013,BLLac,262.07758,50.21958,0.055
2813,5BZQJ1728+0427,QSORLoudflatradiosp.,262.10396,4.45136,0.293
2814,5BZQJ1728+3838,QSORLoudflatradiosp.,262.24642,38.64067,1.386
2815,5BZBJ1729+5255,BLLac,262.32817,52.93314,0.349
2816,5BZQJ1730+0024,QSORLoudflatradiosp.,262.64583,0.41075,1.335
2817,5BZGJ1730+3714,BLLac-galaxydominated,262.696,37.24867,0.204
2818,5BZUJ1731-3003,BlazarUncertaintype,262.94529,-30.05247,
2819,5BZQJ1732-7200,QSORLoudflatradiosp.,263.04763,-72.01114,0.62
2820,5BZQJ1732-5553,QSORLoudflatradiosp.,263.11771,-55.89761,2.154
2821,5BZQJ1733-1304,QSORLoudflatradiosp.,263.26129,-13.08042,0.902
2822,5BZGJ1733+4519,BLLac-galaxydominated,263.37012,45.33083,0.317
2823,5BZQJ1733-7935,QSORLoudflatradiosp.,263.41958,-79.59881,0.876
2824,5BZQJ1734+3857,QSORLoudflatradiosp.,263.58575,38.96428,0.976
2825,5BZUJ1734+0926,BlazarUncertaintype,263.74325,9.44953,0.735
2826,5BZBJ1735+5650,BLLac,263.79508,56.83964,0.388
2827,5BZQJ1735+3616,QSORLoudflatradiosp.,263.95038,36.27933,0.803
2828,5BZBJ1736+2033,BLLacCandidate,264.02188,20.55031,
2829,5BZQJ1736+0631,QSORLoudflatradiosp.,264.11908,6.52986,2.387
2830,5BZQJ1737+0621,QSORLoudflatradiosp.,264.30721,6.351,1.207
2831,5BZBJ1737+5702,BLLac,264.32975,57.03789,
2832,5BZQJ1738-5334,QSORLoudflatradiosp.,264.66167,-53.56944,1.721
2833,5BZQJ1738+3224,QSORLoudflatradiosp.,264.66875,32.4025,0.126
2834,5BZQJ1739+4955,QSORLoudflatradiosp.,264.86412,49.91761,1.545
2835,5BZQJ1739+3358,QSORLoudflatradiosp.,264.89733,33.96894,1.625
2836,5BZBJ1739+4737,BLLac,264.98804,47.63289,
2837,5BZQJ1740+4506,QSORLoudflatradiosp.,265.02654,45.114,2.788
2838,5BZQJ1740+5211,QSORLoudflatradiosp.,265.15408,52.19539,1.381
2839,5BZQJ1740+4348,QSORLoudflatradiosp.,265.20396,43.8045,2.246
2840,5BZBJ1741+7224,BLLacCandidate,265.34537,72.41442,0.22
2841,5BZBJ1742+5945,BLLac,265.63333,59.75189,
2842,5BZQJ1743+3747,QSORLoudflatradiosp.,265.94854,37.79828,1.958
2843,5BZGJ1743+1935,BLLac-galaxydominated,265.99096,19.58583,0.084
2844,5BZQJ1743-0350,QSORLoudflatradiosp.,265.99525,-3.83461,1.057
2845,5BZBJ1744-0518,BLLac,266.08708,-5.31133,0.31
2846,5BZQJ1745+2252,QSORLoudflatradiosp.,266.26946,22.88003,1.884
2847,5BZBJ1745-0753,BLLac,266.36292,-7.88442,
2848,5BZQJ1745+1720,QSORLoudflatradiosp.,266.39671,17.33372,1.702
2849,5BZGJ1745+3951,BLLac-galaxydominated,266.40658,39.85861,0.267
2850,5BZBJ1746+5028,BLLacCandidate,266.63487,50.46964,
2851,5BZBJ1747+4937,BLLac,266.76083,49.63306,0.46
2852,5BZBJ1747+4658,BLLac,266.86104,46.98081,
2853,5BZQJ1747+2324,QSORLoudflatradiosp.,266.95862,23.41075,2.203
2854,5BZQJ1748+3404,QSORLoudflatradiosp.,267.02425,34.067,2.763
2855,5BZBJ1748+7005,BLLac,267.13683,70.09744,0.77
2856,5BZBJ1749+4321,BLLac,267.2515,43.36425,
2857,5BZQJ1749-6258,QSORLoudflatradiosp.,267.35712,-62.97192,1.215
2858,5BZGJ1750+4700,BLLac-galaxydominated,267.52088,47.01206,0.16
2859,5BZBJ1751+0939,BLLac,267.88675,9.65019,0.322
2860,5BZQJ1752+1734,QSORLoudflatradiosp.,268.19167,17.57233,0.505
2861,5BZQJ1753+4409,QSORLoudflatradiosp.,268.34437,44.16269,0.871
2862,5BZQJ1753+2848,QSORLoudflatradiosp.,268.42696,28.80136,1.118
2863,5BZBJ1754+3212,BLLac,268.54921,32.20644,
2864,5BZBJ1754-6423,BLLac,268.675,-64.39606,
2865,5BZGJ1755+6236,BLLac-galaxydominated,268.95183,62.61225,0.027
2866,5BZQJ1756+5748,QSORLoudflatradiosp.,269.01513,57.81333,2.11
2867,5BZBJ1756+5522,BLLac,269.06621,55.37169,
2868,5BZQJ1756+1553,QSORLoudflatradiosp.,269.14054,15.8955,0.547
2869,5BZBJ1757+7033,BLLac,269.30517,70.56039,0.407
2870,5BZGJ1757+5523,BLLac-galaxydominated,269.36779,55.38669,0.065
2871,5BZQJ1759+2343,QSORLoudflatradiosp.,269.7515,23.72972,1.721
2872,5BZBJ1759+7037,BLLacCandidate,269.95421,70.62258,
2873,5BZQJ1800+3848,QSORLoudflatradiosp.,270.10321,38.80853,2.092
2874,5BZBJ1800+6126,BLLacCandidate,270.10483,61.43708,
2875,5BZBJ1800+7828,BLLac,270.19033,78.46778,0.68
2876,5BZQJ1801+4404,QSORLoudflatradiosp.,270.38463,44.07275,0.663
2877,5BZQJ1802-4925,QSORLoudflatradiosp.,270.541,-49.41978,2.286
2878,5BZGJ1802+4819,BLLac-galaxydominated,270.63138,48.32806,0.129
2879,5BZQJ1802-3940,QSORLoudflatradiosp.,270.67783,-39.66886,1.319
2880,5BZQJ1803-6507,QSORLoudflatradiosp.,270.84792,-65.12689,1.198
2881,5BZQJ1803+0934,QSORLoudflatradiosp.,270.89021,9.57386,0.683
2882,5BZBJ1803+6548,BLLacCandidate,270.97633,65.80697,0.085
2883,5BZQJ1803+0341,QSORLoudflatradiosp.,270.9845,3.68544,1.42
2884,5BZGJ1804+0042,BLLac-galaxydominated,271.037,0.70614,0.07
2885,5BZQJ1804+0101,QSORLoudflatradiosp.,271.06658,1.02567,1.522
2886,5BZUJ1804+1755,BlazarUncertaintype,271.17725,17.93303,0.435
2887,5BZBJ1806+6949,BLLac,271.71117,69.82447,0.046
2888,5BZQJ1807+2204,QSORLoudflatradiosp.,271.91171,22.08233,0.798
2889,5BZQJ1807-6413,QSORLoudflatradiosp.,271.97512,-64.23058,1.016
2890,5BZBJ1808+4649,BLLac,272.005,46.82806,
2891,5BZQJ1808-5011,QSORLoudflatradiosp.,272.05762,-50.19814,1.606
2892,5BZQJ1808+4542,QSORLoudflatradiosp.,272.09121,45.70581,0.83
2893,5BZBJ1809+2041,BLLac,272.35592,20.69197,
2894,5BZQJ1809+1849,QSORLoudflatradiosp.,272.43888,18.8175,0.928
2895,5BZBJ1809+2910,BLLac,272.43912,29.17219,
2896,5BZUJ1809-4552,BlazarUncertaintype,272.49112,-45.87806,0.07
2897,5BZBJ1810+1608,BLLac,272.70908,16.13911,
2898,5BZBJ1811+0341,BLLacCandidate,272.82513,3.68717,
2899,5BZBJ1811+1704,BLLacCandidate,272.92992,17.08258,
2900,5BZBJ1811+4416,BLLac,272.97288,44.27436,
2901,5BZQJ1813+4304,QSORLoudflatradiosp.,273.31121,43.07103,1.088
2902,5BZBJ1813+0615,BLLac,273.38921,6.26167,
2903,5BZBJ1813+3144,BLLacCandidate,273.39667,31.73825,0.117
2904,5BZQJ1813+2952,QSORLoudflatradiosp.,273.40529,29.87719,1.351
2905,5BZQJ1814+4113,QSORLoudflatradiosp.,273.59462,41.21822,1.564
2906,5BZQJ1815+1623,QSORLoudflatradiosp.,273.81188,16.39608,0.742
2907,5BZQJ1815-7001,QSORLoudflatradiosp.,273.96579,-70.0275,0.745
2908,5BZQJ1818+5017,QSORLoudflatradiosp.,274.62717,50.28881,1.395
2909,5BZQJ1818+0903,QSORLoudflatradiosp.,274.66692,9.06283,0.354
2910,5BZUJ1819-6345,BlazarUncertaintype,274.89583,-63.76339,0.063
2911,5BZUJ1819-5521,BlazarUncertaintype,274.93917,-55.35575,1.629
2912,5BZGJ1823+7938,BLLac-galaxydominated,275.80879,79.64694,0.224
2913,5BZBJ1823+6857,BLLac,275.88687,68.96461,
2914,5BZUJ1823-3454,BlazarUncertaintype,275.91079,-34.90333,
2915,5BZQJ1824+1044,QSORLoudflatradiosp.,276.01192,10.73994,1.36
2916,5BZBJ1824+5651,BLLac,276.02946,56.85042,0.663
2917,5BZQJ1826-3650,QSORLoudflatradiosp.,276.53388,-36.84714,0.888
2918,5BZQJ1826+0149,QSORLoudflatradiosp.,276.60442,1.82781,1.771
2919,5BZQJ1826+3431,QSORLoudflatradiosp.,276.74992,34.52058,1.814
2920,5BZQJ1827-4533,QSORLoudflatradiosp.,276.79267,-45.55278,1.244
2921,5BZQJ1829-5813,QSORLoudflatradiosp.,277.30167,-58.23194,1.531
2922,5BZUJ1829+2729,BlazarUncertaintype,277.30817,27.48411,
2923,5BZBJ1829+5402,BLLac,277.35121,54.04994,
2924,5BZUJ1829+4844,BlazarUncertaintype,277.38242,48.74617,0.695
2925,5BZBJ1830+1324,BLLac,277.50317,13.40397,
2926,5BZQJ1830+0619,QSORLoudflatradiosp.,277.52475,6.32111,0.745
2927,5BZQJ1831-4805,QSORLoudflatradiosp.,277.92267,-48.08917,1.196
2928,5BZBJ1832-5659,BLLac,278.12908,-56.98908,
2929,5BZQJ1832+1357,QSORLoudflatradiosp.,278.18008,13.96317,2.83
2930,5BZQJ1833-2103,QSORLoudflatradiosp.,278.41638,-21.06103,2.507
2931,5BZBJ1834-5948,BLLacCandidate,278.56421,-59.81314,0.435
2932,5BZBJ1834-5856,BLLac,278.61446,-58.94342,
2933,5BZQJ1835+6119,QSORLoudflatradiosp.,278.832,61.32778,2.274
2934,5BZQJ1835+2506,QSORLoudflatradiosp.,278.99325,25.11261,1.973
2935,5BZBJ1836+3136,BLLac,279.0885,31.60744,
2936,5BZQJ1837-7108,QSORLoudflatradiosp.,279.36962,-71.14544,1.356
2937,5BZQJ1837-5848,QSORLoudflatradiosp.,279.47417,-58.8025,3.04
2938,5BZQJ1838-3427,QSORLoudflatradiosp.,279.61875,-34.46161,2.78
2939,5BZBJ1838+4802,BLLac,279.70487,48.04289,
2940,5BZGJ1838+5735,BLLac-galaxydominated,279.744,57.59428,0.164
2941,5BZQJ1840+2457,QSORLoudflatradiosp.,280.01429,24.96156,1.634
2942,5BZGJ1840-7709,BLLac-galaxydominated,280.16083,-77.15797,0.018
2943,5BZQJ1840+3900,QSORLoudflatradiosp.,280.23813,39.01269,3.095
2944,5BZBJ1840+5452,BLLac,280.23908,54.87108,0.646
2945,5BZBJ1841+5906,BLLac,280.33462,59.10228,0.53
2946,5BZBJ1841+3218,BLLac,280.446,32.31089,
2947,5BZQJ1842+6809,QSORLoudflatradiosp.,280.64017,68.157,0.472
2948,5BZBJ1843-7430,BLLac,280.91758,-74.50672,
2949,5BZBJ1844+5709,BLLac,281.21233,57.16072,
2950,5BZQJ1846+3747,QSORLoudflatradiosp.,281.633,37.78814,2.441
2951,5BZQJ1848+3219,QSORLoudflatradiosp.,282.09204,32.31739,0.798
2952,5BZBJ1848+6537,BLLac,282.09442,65.61731,0.364
2953,5BZBJ1848+4245,BLLac,282.19642,42.76094,
2954,5BZQJ1849+6705,QSORLoudflatradiosp.,282.31696,67.09492,0.657
2955,5BZQJ1849+3024,QSORLoudflatradiosp.,282.33379,30.40394,0.672
2956,5BZBJ1849-4314,BLLac,282.358,-43.23697,
2957,5BZBJ1849+2748,BLLac,282.38225,27.80022,
2958,5BZQJ1850+2825,QSORLoudflatradiosp.,282.61496,28.42033,2.544
2959,5BZQJ1852+4855,QSORLoudflatradiosp.,283.11896,48.92986,1.25
2960,5BZQJ1852+4019,QSORLoudflatradiosp.,283.12654,40.3185,2.12
2961,5BZBJ1853+6713,BLLac,283.46692,67.23197,0.212
2962,5BZQJ1854+7351,QSORLoudflatradiosp.,283.73875,73.85553,0.461
2963,5BZQJ1855+3742,QSORLoudflatradiosp.,283.86546,37.71583,1.12
2964,5BZQJ1857-5325,QSORLoudflatradiosp.,284.25187,-53.41678,0.778
2965,5BZBJ1901-2112,BLLacCandidate,285.26854,-21.20033,
2966,5BZQJ1901-7429,QSORLoudflatradiosp.,285.27138,-74.49036,0.638
2967,5BZQJ1902+3159,QSORLoudflatradiosp.,285.73308,31.99492,0.635
2968,5BZQJ1903-6749,QSORLoudflatradiosp.,285.75513,-67.82664,0.255
2969,5BZBJ1903+5540,BLLac,285.79837,55.67736,
2970,5BZQJ1909+4834,QSORLoudflatradiosp.,287.444,48.5755,0.513
2971,5BZQJ1911-2006,QSORLoudflatradiosp.,287.79021,-20.11531,1.119
2972,5BZQJ1911-2102,QSORLoudflatradiosp.,287.97475,-21.0455,1.42
2973,5BZUJ1911+1611,BlazarUncertaintype,287.99275,16.19636,
2974,5BZQJ1912+3740,QSORLoudflatradiosp.,288.10467,37.67683,1.104
2975,5BZQJ1912-8010,QSORLoudflatradiosp.,288.16675,-80.16831,1.756
2976,5BZQJ1913-4503,QSORLoudflatradiosp.,288.44396,-45.05322,2.559
2977,5BZQJ1914-4631,QSORLoudflatradiosp.,288.55754,-46.52553,1.283
2978,5BZUJ1915+6548,BlazarUncertaintype,288.84925,65.81289,0.486
2979,5BZQJ1915-2347,QSORLoudflatradiosp.,288.93654,-23.78417,1.34
2980,5BZQJ1916-7946,QSORLoudflatradiosp.,289.18471,-79.77275,0.204
2981,5BZBJ1917-1921,BLLac,289.43675,-19.35878,0.137
2982,5BZQJ1918+5520,QSORLoudflatradiosp.,289.54479,55.34406,1.734
2983,5BZBJ1918-4111,BLLac,289.56687,-41.19189,
2984,5BZQJ1918+4937,QSORLoudflatradiosp.,289.68992,49.63222,0.926
2985,5BZQJ1919-4543,QSORLoudflatradiosp.,289.81954,-45.72739,2.47
2986,5BZQJ1920-2351,QSORLoudflatradiosp.,290.20183,-23.85919,1.345
2987,5BZBJ1921-1231,BLLac,290.34967,-12.53178,
2988,5BZBJ1921-1607,BLLac,290.46479,-16.12033,
2989,5BZQJ1923-8007,QSORLoudflatradiosp.,290.77412,-80.12467,1.481
2990,5BZQJ1923-2104,QSORLoudflatradiosp.,290.88412,-21.07592,0.874
2991,5BZQJ1924-2914,QSORLoudflatradiosp.,291.21275,-29.24169,0.353
2992,5BZBJ1925-1018,BLLacCandidate,291.26338,-10.3035,
2993,5BZQJ1925-3401,QSORLoudflatradiosp.,291.32083,-34.017,1.523
2994,5BZBJ1925-5935,BLLac,291.3515,-59.59231,0.436
2995,5BZBJ1925-2219,BLLac,291.41579,-22.32642,
2996,5BZBJ1925+2106,BLLac,291.49838,21.10728,
2997,5BZBJ1926+6154,BLLac,291.70787,61.91178,
2998,5BZBJ1927+6117,BLLac,291.87683,61.29247,
2999,5BZQJ1927+7358,QSORLoudflatradiosp.,291.95208,73.96711,0.302
3000,5BZUJ1928-0456,BlazarUncertaintype,292.09367,-4.94061,0.587
3001,5BZQJ1930-6056,QSORLoudflatradiosp.,292.52567,-60.93589,3.254
3002,5BZBJ1931+0937,BLLac,292.79004,9.62153,
3003,5BZQJ1932-4536,QSORLoudflatradiosp.,293.18704,-45.61053,0.652
3004,5BZUJ1933+0726,BlazarUncertaintype,293.33458,7.43939,
3005,5BZQJ1933-6942,QSORLoudflatradiosp.,293.37983,-69.71636,1.481
3006,5BZQJ1933+6540,QSORLoudflatradiosp.,293.48892,65.67136,1.687
3007,5BZQJ1934+6138,QSORLoudflatradiosp.,293.6695,61.64489,1.749
3008,5BZQJ1934-2416,QSORLoudflatradiosp.,293.72021,-24.27344,1.543
3009,5BZQJ1935-1602,QSORLoudflatradiosp.,293.89917,-16.04233,1.46
3010,5BZQJ1936+7131,QSORLoudflatradiosp.,294.01483,71.5255,1.864
3011,5BZQJ1936-0402,QSORLoudflatradiosp.,294.22392,-4.04597,0.49
3012,5BZBJ1936-4719,BLLac,294.23375,-47.33056,0.265
3013,5BZUJ1937-3958,BlazarUncertaintype,294.31758,-39.96711,0.965
3014,5BZQJ1938-1749,QSORLoudflatradiosp.,294.52067,-17.82233,0.903
3015,5BZQJ1938-4657,QSORLoudflatradiosp.,294.60979,-46.95708,0.805
3016,5BZQJ1939-1525,QSORLoudflatradiosp.,294.86108,-15.42864,1.657
3017,5BZQJ1939-1002,QSORLoudflatradiosp.,294.98858,-10.04486,3.787
3018,5BZQJ1941-0211,QSORLoudflatradiosp.,295.32892,-2.19586,0.202
3019,5BZUJ1941-6211,BlazarUncertaintype,295.34071,-62.18919,
3020,5BZQJ1942-7015,QSORLoudflatradiosp.,295.68921,-70.26233,2.896
3021,5BZBJ1942+1033,BLLac,295.69783,10.5575,
3022,5BZGJ1945-5520,BLLac-galaxydominated,296.354,-55.34694,0.015
3023,5BZQJ1945-3048,QSORLoudflatradiosp.,296.48979,-30.81369,0.576
3024,5BZBJ1945-3111,BLLac,296.49754,-31.19425,
3025,5BZQJ1949+5041,QSORLoudflatradiosp.,297.43275,50.69156,1.929
3026,5BZQJ1949-1957,QSORLoudflatradiosp.,297.47258,-19.95369,2.652
3027,5BZQJ1951+5727,QSORLoudflatradiosp.,297.77908,57.45478,0.652
3028,5BZQJ1951+0134,QSORLoudflatradiosp.,297.90008,1.57853,4.114
3029,5BZQJ1951-0509,QSORLoudflatradiosp.,297.94779,-5.16222,1.083
3030,5BZBJ1954-1123,BLLac,298.6715,-11.38961,0.683
3031,5BZQJ1955+1358,QSORLoudflatradiosp.,298.79821,13.97119,0.743
3032,5BZQJ1955+5131,QSORLoudflatradiosp.,298.92808,51.53014,1.214
3033,5BZQJ1956-3225,QSORLoudflatradiosp.,299.24771,-32.42944,1.242
3034,5BZQJ1957-3845,QSORLoudflatradiosp.,299.49925,-38.75178,0.63
3035,5BZGJ1958-3011,BLLac-galaxydominated,299.56212,-30.18658,0.119
3036,5BZQJ1959-4246,QSORLoudflatradiosp.,299.80579,-42.76883,2.178
3037,5BZBJ1959+6508,BLLac,299.99942,65.14853,0.047
3038,5BZQJ2000-1325,QSORLoudflatradiosp.,300.17563,-13.42597,0.222
3039,5BZQJ2000-1748,QSORLoudflatradiosp.,300.23788,-17.81603,0.652
3040,5BZBJ2001+4352,BLLac,300.30362,43.88133,
3041,5BZBJ2001+7040,BLLac,300.39146,70.67372,
3042,5BZQJ2003-3251,QSORLoudflatradiosp.,300.8505,-32.86253,3.773
3043,5BZGJ2003-0856,BLLac-galaxydominated,300.97683,-8.94525,0.057
3044,5BZQJ2004-6347,QSORLoudflatradiosp.,301.12283,-63.78981,2.189
3045,5BZBJ2005+7004,BLLac,301.27625,70.07797,
3046,5BZQJ2005-1822,QSORLoudflatradiosp.,301.32204,-18.36758,0.868
3047,5BZBJ2005+7752,BLLac,301.37917,77.87867,0.342
3048,5BZQJ2005-2310,QSORLoudflatradiosp.,301.48583,-23.17417,0.833
3049,5BZQJ2006+6424,QSORLoudflatradiosp.,301.57371,64.41261,1.574
3050,5BZQJ2007+0636,QSORLoudflatradiosp.,301.79967,6.61239,2.864
3051,5BZQJ2007+6607,QSORLoudflatradiosp.,301.86988,66.12292,1.325
3052,5BZQJ2007+4029,QSORLoudflatradiosp.,301.93725,40.49683,1.736
3053,5BZQJ2007-4434,QSORLoudflatradiosp.,301.97992,-44.57897,0.24
3054,5BZUJ2008-0418,BlazarUncertaintype,302.10179,-4.30814,0.589
3055,5BZBJ2009-4849,BLLac,302.35579,-48.83158,0.071
3056,5BZBJ2009+7229,BLLac,302.46792,72.48872,
3057,5BZQJ2009+0727,QSORLoudflatradiosp.,302.48129,7.45381,0.762
